UniqueID,Identifier for customers,Yes
loan_default,Payment default in the first EMI on due date,Yes
disbursed_amount,Amount of Loan disbursed,Yes
asset_cost,Cost of the Asset,Yes
ltv,Loan to Value of the asset,Yes
branch_id,Branch where the loan was disbursed,Yes
supplier_id,Vehicle Dealer where the loan was disbursed,Yes
manufacturer_id,"Vehicle manufacturer(Hero, Honda, TVS etc.)",Yes
Current_pincode,Current pincode of the customer,Yes
Date.of.Birth,Date of birth of the customer,Yes
Employment.Type,Employment Type of the customer (Salaried/Self Employed),Yes
DisbursalDate,Date of disbursement,Yes
State_ID,State of disbursement,Yes
Employee_code_ID,Employee of the organization who logged the disbursement,Yes
MobileNo_Avl_Flag,if Mobile no. was shared by the customer then flagged as 1,Yes
Aadhar_flag,if aadhar was shared by the customer then flagged as 1,Yes
PAN_flag,if pan was shared by the customer then flagged as 1,Yes
VoterID_flag,if voter  was shared by the customer then flagged as 1,Yes
Driving_flag,if DL was shared by the customer then flagged as 1,Yes
Passport_flag,if passport was shared by the customer then flagged as 1,Yes
PERFORM_CNS.SCORE,Bureau Score,Yes
PERFORM_CNS.SCORE.DESCRIPTION,Bureau score description,Yes
PRI.NO.OF.ACCTS,count of total loans taken by the customer at the time of disbursement,Yes
PRI.ACTIVE.ACCTS,count of active loans taken by the customer at the time of disbursement,Yes
PRI.OVERDUE.ACCTS,count of default accounts at the time of disbursement,Yes
PRI.CURRENT.BALANCE,total Principal outstanding amount of the active loans at the time of disbursement,Yes
PRI.SANCTIONED.AMOUNT,total amount that was sanctioned for all the loans at the time of disbursement,Yes
PRI.DISBURSED.AMOUNT,total amount that was disbursed for all the loans at the time of disbursement,Yes
SEC.NO.OF.ACCTS,count of total loans taken by the customer at the time of disbursement,Yes
SEC.ACTIVE.ACCTS,count of active loans taken by the customer at the time of disbursement,Yes
SEC.OVERDUE.ACCTS,count of default accounts at the time of disbursement,Yes
SEC.CURRENT.BALANCE,total Principal outstanding amount of the active loans at the time of disbursement,Yes
SEC.SANCTIONED.AMOUNT,total amount that was sanctioned for all the loans at the time of disbursement,Yes
SEC.DISBURSED.AMOUNT,total amount that was disbursed for all the loans at the time of disbursement,Yes
PRIMARY.INSTAL.AMT,EMI Amount of the primary loan,Yes
SEC.INSTAL.AMT,EMI Amount of the secondary loan,Yes
NEW.ACCTS.IN.LAST.SIX.MONTHS,New loans taken by the customer in last 6 months before the disbursment,Yes
DELINQUENT.ACCTS.IN.LAST.SIX.MONTHS,Loans defaulted in the last 6 months,Yes
AVERAGE.ACCT.AGE,Average loan tenure,Yes
CREDIT.HISTORY.LENGTH,Time since first loan,Yes
NO.OF_INQUIRIES,Enquries done by the customer for loans,Yes
PRI.Prefix (not a variable),Primary accounts are those which the customer has taken for his personal use,Yes
SEC.Prefix (not a variable),Secondary accounts are those which the customer act as a co-applicant or gaurantor,Yes